アンケート情報,,,,,,,,Q1,Q2,Q3,Q4,,Q5,,,,,,,,,,,,,,,,,,Q6,Q7,Q8,,Q9,,Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11,Q12,,,,,,,,,,,,,,,,,,,,,,Q13,,,,,,,,,,,,,,,,,,Q14,Q15,Q16,,Q17,,,,,,,,,,Q18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q19,Q20
id,QRコード読取日時,アンケート回答日時,言語,会員ID,県,エリア,業種,生まれ年,性別,国籍,世帯年収(金額),世帯年収(通貨),訪日目的ALL,観光・レジャー,家族・知人訪問,ハネムーン,学校関係の旅行,スポーツ・スポーツ観戦,イベント,留学,治療・検診,インセンティブツアー,ビジネス（展示会・見本市）,ビジネス（国際会議）,ビジネス（企業ミーティング）,ビジネス（研修）,ビジネス（その他ビジネス）,トランジット,日本国内在住,その他,同伴者,滞在日数,"旅の総予算(金額)","旅の総予算(通貨)","宿泊予算(金額)","宿泊予算(通貨)",旅行情報元ALL,日本政府観光局(JNTO)ホームページ,旅行会社ホームページ,宿泊施設ホームページ,航空会社ホームページ,地方観光協会ホームページ,"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)",口コミサイト（Tripadvisor等）,"Google Mapなどの地図アプリやサイトでの検索",Instagram,"X (Twitter)",Facebook,YouTube,その他SNS,個人のブログ,その他インターネットサイト（検索サイトを除く）,日本政府観光局の案内所,旅行会社パンフレット,旅行ガイドブック,自国の親戚・知人,日本在住の親族・知人,旅行の展示会や見本市,テレビ番組,新聞,旅行専門誌,その他雑誌,その他,特になし,訪日回数,訪問目的(県)ALL,日本食を食べること,日本の酒を飲むこと（日本酒・焼酎等）,旅館に宿泊,温泉入浴,自然・景勝地観光,繁華街の街歩き,ショッピング,美術館・博物館・動植物園・水族館,テーマパーク,スキー・スノーボード,その他スポーツ（ゴルフ等）,舞台・音楽鑑賞,スポーツ観戦（相撲・サッカー等）,自然体験ツアー・農山漁村体験,四季の体感（花見・紅葉・雪等）,映画・アニメ縁の地を訪問,日本の歴史・伝統文化体験,日本の日常生活体験,日本のポップカルチャーを楽しむ,治療・検診,上記には当てはまるものがない,訪問目的(施設)ALL,行きたい観光スポットがあったから,景観・自然・気候を楽しみたいから,行きたいお店・ここでしか購入できないものがあるから,泊まりたいホテル・旅館があるから,温泉を楽しみたいから,地域の食事や特産品を味わいたい（or買いたい）から,ドライブ・ツーリングを楽しみたいから,写真を撮影したいから,日常を離れ、バカンスを楽しみたいから,費用が手頃だから,以前に訪問し気に入ったから,友人・知人に勧められたから,テレビ・雑誌・インターネットで紹介されていたから,同行者が訪問したがったから,ツアーに組み込まれていたから,出張など用事があったため,その他,満足度(施設),満足度の理由(施設),一人当たりの消費額(施設)(金額),一人当たりの消費額(施設)(通貨),交通手段(施設)ALL,レンタカー,借上バス,路線バス,タクシー,ハイヤー,自転車,鉄道,徒歩,その他,認知経路(施設)ALL,日本政府観光局(JNTO)ホームページ,旅行会社ホームページ,宿泊施設ホームページ,航空会社ホームページ,地方観光協会ホームページ,"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)",口コミサイト（Tripadvisor等）,"Google Mapなどの地図アプリやサイトでの検索",Instagram,"X (Twitter)",Facebook,YouTube,その他SNS,個人のブログ,その他インターネットサイト（検索サイトを除く）,日本政府観光局の案内所,旅行会社パンフレット,旅行ガイドブック,自国の親戚・知人,日本在住の親族・知人,旅行の展示会や見本市,テレビ番組,新聞,旅行専門誌,その他雑誌,その他,特になし,家族・知人への推奨度(施設),推奨度の理由(旅行)
719,"2024-12-05 10:15:31","2024-12-05 10:19:00",英語,791,石川県,金沢,体験・観光施設,1991,男,その他,50000,ドル/アメリカ　$(USD),"観光・レジャー
ビジネス（国際会議）
",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,配偶者・パートナー,22,2000,ドル/アメリカ　$(USD),1000,ドル/アメリカ　$(USD),"地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Facebook
個人のブログ
旅行専門誌
",0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
旅館に宿泊
温泉入浴
自然・景勝地観光
繁華街の街歩き
ショッピング
美術館・博物館・動植物園・水族館
自然体験ツアー・農山漁村体験
四季の体感（花見・紅葉・雪等）
日本の歴史・伝統文化体験
日本の日常生活体験
日本のポップカルチャーを楽しむ
",1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,"行きたい観光スポットがあったから
景観・自然・気候を楽しみたいから
地域の食事や特産品を味わいたい（or買いたい）から
",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,大変満足,,100,ドル/アメリカ　$(USD),"タクシー
鉄道
",0,0,0,1,0,0,1,0,0,"Facebook
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
720,"2024-12-05 10:15:33","2024-12-05 10:19:50",英語,792,石川県,金沢,体験・観光施設,1997,女,その他,50000,ドル/アメリカ　$(USD),"観光・レジャー
ハネムーン
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,21,3000,ドル/アメリカ　$(USD),3000,ドル/アメリカ　$(USD),"Google Mapなどの地図アプリやサイトでの検索
Facebook
日本政府観光局の案内所
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
温泉入浴
自然・景勝地観光
繁華街の街歩き
ショッピング
美術館・博物館・動植物園・水族館
",1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,満足,,1100,円/日本　￥(JPY),"タクシー
鉄道
",0,0,0,1,0,0,1,0,0,"日本政府観光局(JNTO)ホームページ
Google Mapなどの地図アプリやサイトでの検索
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
721,"2024-12-05 10:28:46","2024-12-05 10:32:41",英語,793,石川県,金沢,体験・観光施設,1975,女,"米国 ",60000,ドル/アメリカ　$(USD),"学校関係の旅行
留学
日本国内在住
",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,その他,21,10000,ドル/アメリカ　$(USD),100,ドル/アメリカ　$(USD),"Instagram
その他
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"日本食を食べること
自然体験ツアー・農山漁村体験
日本の日常生活体験
",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,5,ドル/アメリカ　$(USD),"徒歩
",0,0,0,0,0,0,0,1,0,"Instagram
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
722,"2024-12-05 10:30:25","2024-12-05 10:34:16",英語,794,石川県,金沢,体験・観光施設,2003,女,オーストラリア,50000,ドル/オーストラリア　A$(AUD),"観光・レジャー
学校関係の旅行
",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,21,9000,ドル/オーストラリア　A$(AUD),2000,ドル/オーストラリア　A$(AUD),"旅行会社ホームページ
航空会社ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Instagram
YouTube
",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
自然・景勝地観光
日本の歴史・伝統文化体験
日本の日常生活体験
",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"行きたい観光スポットがあったから
友人・知人に勧められたから
同行者が訪問したがったから
ツアーに組み込まれていたから
",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,大変満足,,5,ドル/オーストラリア　A$(AUD),"徒歩
",0,0,0,0,0,0,0,1,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,
723,"2024-12-05 10:31:37","2024-12-05 10:35:39",英語,795,石川県,金沢,体験・観光施設,2002,男,フィリピン,64000,ドル/オーストラリア　A$(AUD),"観光・レジャー
学校関係の旅行
留学
",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,友人・知人,21,500,ドル/オーストラリア　A$(AUD),300,ドル/オーストラリア　A$(AUD),"旅行会社ホームページ
旅行会社パンフレット
旅行ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
自然体験ツアー・農山漁村体験
日本の歴史・伝統文化体験
",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,100,ドル/オーストラリア　A$(AUD),"徒歩
",0,0,0,0,0,0,0,1,0,"旅行会社ホームページ
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
724,"2024-12-05 10:33:48","2024-12-05 10:38:14",英語,796,石川県,金沢,体験・観光施設,2001,男,オーストラリア,100000,ドル/オーストラリア　A$(AUD),"学校関係の旅行
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,21,5000,ドル/オーストラリア　A$(AUD),2000,ドル/オーストラリア　A$(AUD),"Google Mapなどの地図アプリやサイトでの検索
その他
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"自然・景勝地観光
繁華街の街歩き
美術館・博物館・動植物園・水族館
日本の歴史・伝統文化体験
",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"景観・自然・気候を楽しみたいから
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,30,ドル/オーストラリア　A$(AUD),"徒歩
",0,0,0,0,0,0,0,1,0,"自国の親戚・知人
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,
725,"2024-12-05 10:38:36","2024-12-05 10:41:28",英語,797,石川県,金沢,体験・観光施設,1990,女,シンガポール,10000,ドル/シンガポール　S$(SGD),"観光・レジャー
ハネムーン
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,15,1500,ドル/シンガポール　S$(SGD),2500,ドル/シンガポール　S$(SGD),"旅行会社ホームページ
宿泊施設ホームページ
航空会社ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
Instagram
個人のブログ
旅行ガイドブック
",0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"日本食を食べること
自然・景勝地観光
繁華街の街歩き
日本の歴史・伝統文化体験
",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"行きたい観光スポットがあったから
テレビ・雑誌・インターネットで紹介されていたから
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,満足,,8,ドル/シンガポール　S$(SGD),"路線バス
",0,0,1,0,0,0,0,0,0,"地方観光協会ホームページ
個人のブログ
旅行ガイドブック
",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,
726,"2024-12-05 10:41:46","2024-12-05 10:47:12",英語,798,石川県,金沢,体験・観光施設,2002,女,オーストラリア,200000,ドル/オーストラリア　A$(AUD),"観光・レジャー
留学
",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,職場の同僚,22,2000,ドル/オーストラリア　A$(AUD),8800,ドル/オーストラリア　A$(AUD),"日本政府観光局(JNTO)ホームページ
旅行会社ホームページ
航空会社ホームページ
",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自然・景勝地観光
繁華街の街歩き
美術館・博物館・動植物園・水族館
",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"行きたい観光スポットがあったから
地域の食事や特産品を味わいたい（or買いたい）から
写真を撮影したいから
ツアーに組み込まれていたから
",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,大変満足,,5,ドル/オーストラリア　A$(AUD),"徒歩
",0,0,0,0,0,0,0,1,0,"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
口コミサイト（Tripadvisor等）
自国の親戚・知人
日本在住の親族・知人
",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,
727,"2024-12-05 10:43:49","2024-12-05 10:48:04",英語,799,石川県,金沢,体験・観光施設,1996,女,オーストラリア,20000,ドル/オーストラリア　A$(AUD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,32,400000,円/日本　￥(JPY),250,ドル/オーストラリア　A$(AUD),"Instagram
その他
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"自然・景勝地観光
繁華街の街歩き
美術館・博物館・動植物園・水族館
",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"景観・自然・気候を楽しみたいから
写真を撮影したいから
ツアーに組み込まれていたから
",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,大変満足,N/a,300,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,No
730,"2024-12-05 10:59:24","2024-12-05 11:02:27",英語,802,石川県,金沢,体験・観光施設,1992,男,"米国 ",120000,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,7,100000,円/日本　￥(JPY),300,ドル/アメリカ　$(USD),"日本政府観光局(JNTO)ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"日本食を食べること
温泉入浴
自然体験ツアー・農山漁村体験
映画・アニメ縁の地を訪問
日本の日常生活体験
日本のポップカルチャーを楽しむ
",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,満足,,550,円/日本　￥(JPY),"路線バス
徒歩
",0,0,1,0,0,0,0,1,0,"日本政府観光局(JNTO)ホームページ
Google Mapなどの地図アプリやサイトでの検索
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
